latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
50.08787,-123.04196,679.0,0,GMT,GMT

time,snowfall_sum (cm),precipitation_sum (mm),temperature_2m_mean (°F)
1994-07-01,0.00,48.10,51.1
1994-07-02,0.00,11.40,47.2
1994-07-03,0.00,0.40,49.9
1994-07-04,0.00,3.00,51.6
1994-07-05,0.00,2.70,53.9
1994-07-06,0.00,0.00,60.9
1994-07-07,0.00,0.00,62.2
1994-07-08,0.00,0.00,62.9
1994-07-09,0.00,0.00,61.4
1994-07-10,0.00,0.00,60.3
1994-07-11,0.00,0.00,61.7
1994-07-12,0.00,0.00,66.4
1994-07-13,0.00,1.10,66.9
1994-07-14,0.00,0.00,67.0
1994-07-15,0.00,0.10,67.8
1994-07-16,0.00,0.00,69.6
1994-07-17,0.00,1.70,66.1
1994-07-18,0.00,3.20,58.1
1994-07-19,0.00,0.00,66.5
1994-07-20,0.00,0.00,76.6
1994-07-21,0.00,0.00,78.0
1994-07-22,0.00,0.00,78.3
1994-07-23,0.00,0.00,79.4
1994-07-24,0.00,0.00,77.7
1994-07-25,0.00,0.20,71.1
1994-07-26,0.00,0.00,65.3
1994-07-27,0.00,0.00,69.0
1994-07-28,0.00,0.00,70.4
1994-07-29,0.00,0.00,66.9
1994-07-30,0.00,0.70,62.9
1994-07-31,0.00,0.00,62.7
1994-08-01,0.00,0.00,67.2
1994-08-02,0.00,0.00,71.6
1994-08-03,0.00,4.60,73.4
1994-08-04,0.00,4.50,64.9
1994-08-05,0.00,6.10,60.8
1994-08-06,0.00,1.40,58.5
1994-08-07,0.00,2.20,61.3
1994-08-08,0.00,29.00,60.4
1994-08-09,0.00,6.70,54.7
1994-08-10,0.00,0.10,61.1
1994-08-11,0.00,0.00,67.9
1994-08-12,0.00,0.00,69.7
1994-08-13,0.00,0.00,69.2
1994-08-14,0.00,0.00,66.8
1994-08-15,0.00,1.10,62.5
1994-08-16,0.00,6.10,59.9
1994-08-17,0.00,2.10,59.0
1994-08-18,0.00,0.00,64.9
1994-08-19,0.00,1.00,64.0
1994-08-20,0.00,2.20,60.0
1994-08-21,0.00,9.80,57.0
1994-08-22,0.00,9.10,55.1
1994-08-23,0.00,3.50,56.5
1994-08-24,0.00,0.00,57.7
1994-08-25,0.00,0.20,59.1
1994-08-26,0.00,4.00,58.8
1994-08-27,0.00,0.00,63.9
1994-08-28,0.00,3.50,64.6
1994-08-29,0.00,2.60,58.8
1994-08-30,0.00,0.00,60.9
1994-08-31,0.00,0.00,63.3
1994-09-01,0.00,0.40,60.7
1994-09-02,0.00,0.00,55.1
1994-09-03,0.00,22.10,52.7
1994-09-04,0.00,0.40,52.2
1994-09-05,0.00,0.00,56.4
1994-09-06,0.00,0.00,62.5
1994-09-07,0.00,1.10,59.0
1994-09-08,0.00,19.50,55.0
1994-09-09,0.00,15.40,50.1
1994-09-10,0.00,9.60,49.3
1994-09-11,0.00,0.40,49.3
1994-09-12,0.00,0.00,53.5
1994-09-13,0.00,4.10,53.4
1994-09-14,0.00,5.20,53.1
1994-09-15,0.00,2.90,54.9
1994-09-16,0.00,0.40,59.0
1994-09-17,0.00,0.00,65.7
1994-09-18,0.00,0.00,62.6
1994-09-19,0.00,0.00,61.4
1994-09-20,0.00,0.00,63.5
1994-09-21,0.00,0.00,62.9
1994-09-22,0.00,0.00,66.2
1994-09-23,0.00,0.00,65.9
1994-09-24,0.00,0.00,65.4
1994-09-25,0.00,0.00,65.2
1994-09-26,0.00,0.00,58.9
1994-09-27,0.00,0.00,60.0
1994-09-28,0.00,0.00,61.4
1994-09-29,0.00,0.00,60.3
1994-09-30,0.00,7.70,56.4
1994-10-01,0.00,20.10,54.8
1994-10-02,0.00,0.00,50.4
1994-10-03,0.00,0.00,46.0
1994-10-04,0.00,0.00,52.0
1994-10-05,0.00,0.50,52.0
1994-10-06,0.00,0.30,48.9
1994-10-07,0.00,0.00,47.6
1994-10-08,0.00,0.00,51.3
1994-10-09,0.00,0.70,52.0
1994-10-10,0.00,6.60,47.4
1994-10-11,0.00,1.20,44.8
1994-10-12,0.00,0.00,46.7
1994-10-13,0.21,3.70,44.8
1994-10-14,6.23,21.90,39.8
1994-10-15,0.00,0.10,35.6
1994-10-16,0.00,0.00,35.3
1994-10-17,0.00,1.40,40.7
1994-10-18,0.00,0.00,43.0
1994-10-19,1.89,10.60,40.9
1994-10-20,10.22,55.50,39.2
1994-10-21,2.66,14.40,37.5
1994-10-22,1.26,5.10,36.9
1994-10-23,3.64,9.80,38.2
1994-10-24,0.00,0.00,37.9
1994-10-25,0.00,0.00,42.4
1994-10-26,4.90,50.00,40.8
1994-10-27,5.39,25.00,38.4
1994-10-28,2.24,6.40,36.1
1994-10-29,0.63,2.40,34.6
1994-10-30,12.39,24.30,35.8
1994-10-31,21.98,37.50,35.4
1994-11-01,4.76,9.50,33.1
1994-11-02,0.70,1.30,27.6
1994-11-03,2.94,4.00,24.6
1994-11-04,22.89,32.80,30.2
1994-11-05,1.05,1.20,31.4
1994-11-06,8.82,12.90,31.8
1994-11-07,8.68,14.20,31.7
1994-11-08,10.99,21.40,33.6
1994-11-09,17.99,31.30,35.9
1994-11-10,0.00,0.00,34.1
1994-11-11,8.19,13.80,33.1
1994-11-12,5.81,9.80,33.1
1994-11-13,1.68,2.30,33.0
1994-11-14,30.38,57.90,35.1
1994-11-15,14.77,29.30,36.3
1994-11-16,5.46,7.90,33.2
1994-11-17,0.84,1.10,27.3
1994-11-18,0.00,0.00,18.5
1994-11-19,23.66,33.80,24.0
1994-11-20,3.43,5.10,26.1
1994-11-21,0.28,0.40,21.0
1994-11-22,12.74,18.20,24.9
1994-11-23,18.27,25.90,26.7
1994-11-24,2.52,3.00,28.2
1994-11-25,12.88,20.00,30.1
1994-11-26,0.63,0.90,27.2
1994-11-27,11.41,16.50,29.1
1994-11-28,0.28,0.30,28.5
1994-11-29,23.10,34.50,30.0
1994-11-30,20.30,75.40,36.1
